id,student_id,title,category,description,achieved_on,issuing_organization,proof_url
c7972932-ebd6-45aa-a96a-0cd33c2911e1,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2025-09-15,SKIT,https://uei-proofs.s3.amazonaws.com/ach-de5edc22.pdf
72d3f948-ff63-4c81-b238-9350a0807f49,2c3d1809-b161-465f-9647-776b20a08b71,Coding Club Event Organizer,CLUB,Achievement recorded under Club category.,2026-03-31,SKIT,https://uei-proofs.s3.amazonaws.com/ach-9caf1c56.pdf
a3f0a920-c647-44e0-b5f9-7bf5c93c2538,b59261e4-5561-4347-b2fe-b2d57d216e4e,Inter-college Cricket Tournament - Runner-up,SPORTS,Achievement recorded under Sports category.,2025-08-19,External Body,https://uei-proofs.s3.amazonaws.com/ach-234f163c.pdf
98ce98d5-7d7b-4c09-b4a3-257ca590d99f,4b13df1a-81b9-4031-8a44-e4a93d035ee6,IEEE Conference Paper - Co-author,PUBLICATION,Achievement recorded under Publication category.,2024-07-08,IEEE,https://uei-proofs.s3.amazonaws.com/ach-735695b1.pdf
f6303c7a-2c2f-44d8-9fb5-f165288e6ef2,c7dc9f61-161f-406d-b9de-82b00c1645ad,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2025-12-20,SKIT,https://uei-proofs.s3.amazonaws.com/ach-e09dafd0.pdf
13b4b2ca-a888-49b3-86cf-ecf4933095f0,73313afa-c5b3-4404-a6fd-cefad75d1eb6,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2026-01-03,SKIT,https://uei-proofs.s3.amazonaws.com/ach-5a10778f.pdf
a669175c-9815-419b-a3a3-58d95e870a3b,6090a4c3-d95b-464f-bfeb-ba44374e5431,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2026-05-03,AICTE,https://uei-proofs.s3.amazonaws.com/ach-674e0a2c.pdf
cc37b828-131e-4b41-b441-b46da2b72be9,1fc6613b-54fd-4adc-a5df-889c7946c6f1,GeeksforGeeks Coding Contest,CONTEST,Achievement recorded under Contest category.,2026-04-08,SKIT,https://uei-proofs.s3.amazonaws.com/ach-7c3bbdf0.pdf
bf7fef96-91d3-4acf-9053-9fa3005fc8be,03311a3d-c10e-4431-ab52-3e503cb2ecd6,GeeksforGeeks Coding Contest,CONTEST,Achievement recorded under Contest category.,2025-09-12,External Body,https://uei-proofs.s3.amazonaws.com/ach-b9a6565a.pdf
eeff5454-daf0-4667-9c8f-132de7c68b22,be3597b2-e328-41e3-8625-f0f063f73070,IEEE Conference Paper - Co-author,PUBLICATION,Achievement recorded under Publication category.,2026-03-26,IEEE,https://uei-proofs.s3.amazonaws.com/ach-f49cd190.pdf
da46c1ea-e43f-4454-9e65-1eb28919e5a4,8f752177-8b62-4d2d-8600-9b05fbe2169b,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2025-12-04,SKIT,https://uei-proofs.s3.amazonaws.com/ach-07e9fb88.pdf
29c60d6a-8e3d-421e-bbae-1aa32ddedc51,8f752177-8b62-4d2d-8600-9b05fbe2169b,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2026-07-20,External Body,https://uei-proofs.s3.amazonaws.com/ach-25749edf.pdf
633b2fc3-c190-4410-bfc8-08fbf2494f88,5ec4f153-e109-4264-964c-73d252319f0e,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2025-07-14,IEEE,https://uei-proofs.s3.amazonaws.com/ach-6dfac460.pdf
40edbdc5-228c-4787-95c7-60e1cbeded28,bd0bfff1-aa08-469f-ace3-025aed67e75a,Smart India Hackathon - Finalist,HACKATHON,Achievement recorded under Hackathon category.,2025-09-01,External Body,https://uei-proofs.s3.amazonaws.com/ach-685d74b2.pdf
3bbabaf7-6c8f-47a3-8eae-3d84a52e1443,1ca793cc-1198-435a-9f94-a3e8496154bb,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2025-01-06,AWS,https://uei-proofs.s3.amazonaws.com/ach-00ab63c2.pdf
fff6b7ab-2471-49cc-a49e-2bc4835a529c,c854faf3-84cd-4da5-a49a-3239315a747a,Research paper on ML applications,PUBLICATION,Achievement recorded under Publication category.,2026-07-23,External Body,https://uei-proofs.s3.amazonaws.com/ach-7a8b275a.pdf
0d05b92a-e4dc-4d02-a6a5-f1c9cdd1a5c5,468d5573-23a5-4e70-910f-a6582f4a9796,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2024-07-23,AICTE,https://uei-proofs.s3.amazonaws.com/ach-878af902.pdf
e3b9199f-db84-4e2e-95e4-ea587f05d765,274e5dc2-8313-420e-af64-62d711c5d8a9,IEEE Conference Paper - Co-author,PUBLICATION,Achievement recorded under Publication category.,2025-03-29,AWS,https://uei-proofs.s3.amazonaws.com/ach-4391a6af.pdf
563a8067-8a99-4800-a416-f60bf11ee2f3,5f98ac60-2390-4b08-b203-436e27e21256,University Badminton Championship,SPORTS,Achievement recorded under Sports category.,2026-02-26,SKIT,https://uei-proofs.s3.amazonaws.com/ach-c1068362.pdf
f278cc12-a07d-4d59-bf96-50feb359e1b7,a28a7e4f-6327-4d2a-9fb6-c5a24dd9c085,Technical Club Core Member,CLUB,Achievement recorded under Club category.,2025-05-16,IEEE,https://uei-proofs.s3.amazonaws.com/ach-f5422bf1.pdf
4071e5af-3589-4bb0-9c4c-67bc2610ad64,62635a52-79be-4983-a930-e0a4dddc561a,Hack36 Winner,HACKATHON,Achievement recorded under Hackathon category.,2025-11-25,AWS,https://uei-proofs.s3.amazonaws.com/ach-605f7a77.pdf
995b08e9-00c6-4604-bebf-ba46d7253391,7200bf7a-08c0-4ca4-9c0e-6d596569e2a1,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2026-05-27,Google,https://uei-proofs.s3.amazonaws.com/ach-333af506.pdf
67c15645-8041-4dcb-93a6-1a45ce237e45,7200bf7a-08c0-4ca4-9c0e-6d596569e2a1,AWS Cloud Practitioner,CERTIFICATION,Achievement recorded under Certification category.,2026-06-08,AICTE,https://uei-proofs.s3.amazonaws.com/ach-b3e9e5e9.pdf
f2dfbfdf-9cbd-44ca-ba0b-f8ea58536663,d0a7a248-1401-4ba2-90c5-fcb92e59123f,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2026-05-22,External Body,https://uei-proofs.s3.amazonaws.com/ach-5ab212dc.pdf
2ddd0478-ea70-4f62-8cfe-99732ec108eb,d0a7a248-1401-4ba2-90c5-fcb92e59123f,College Hackathon - 2nd Place,HACKATHON,Achievement recorded under Hackathon category.,2025-02-18,IEEE,https://uei-proofs.s3.amazonaws.com/ach-a62df557.pdf
0cdc8a24-a328-453a-8c08-3984df75e7e9,d0a7a248-1401-4ba2-90c5-fcb92e59123f,CodeChef Div 2 - Top 10%,CONTEST,Achievement recorded under Contest category.,2025-08-25,AICTE,https://uei-proofs.s3.amazonaws.com/ach-ac74f67b.pdf
9f128d5d-3322-4892-aedd-b48db20ac109,2edafeee-b273-45ff-8ad6-7fa3a827fdbd,LeetCode Contest Rank,CONTEST,Achievement recorded under Contest category.,2025-04-01,AWS,https://uei-proofs.s3.amazonaws.com/ach-e62b17a7.pdf
9c4be3f7-2d46-49ee-9ff5-c12fc51150c4,95367de5-7130-4f76-8f84-a68859c30c97,Google Data Analytics Certificate,CERTIFICATION,Achievement recorded under Certification category.,2026-05-05,External Body,https://uei-proofs.s3.amazonaws.com/ach-5dfb69fe.pdf
