id,user_id,action,entity_type,entity_id,details,ip_address,created_at
81695ad2-0301-4dab-a5b8-352a99762434,3a365b85-43a8-4f58-886e-1ac3f3fe58c6,MARKS_ENTRY,course_enrollments,899a4a8f-2b2c-4b48-9880-09a39fbdf4e3,"{""source"": ""web"", ""note"": ""MARKS_ENTRY event""}",10.78.212.112,2026-09-11 12:38:46
4cb7dd86-e1e8-40b1-99c7-d52f179dbfc9,9f50161f-b3e4-4ac0-9179-935205bcd0e1,PLACEMENT_STATUS_UPDATE,placement_readiness,667c4255-eb7d-420c-ab43-fc9d51599bc1,"{""source"": ""web"", ""note"": ""PLACEMENT_STATUS_UPDATE event""}",10.141.9.64,2026-08-11 13:28:54
0bcf2710-1016-4ea7-b3cf-d2b5d1c9b395,6dc30d0c-2f4d-43d6-bd2b-34e293d8b8cb,MARKS_ENTRY,course_enrollments,53e75892-2963-4cdd-8eb8-6c794ba6eafc,"{""source"": ""web"", ""note"": ""MARKS_ENTRY event""}",10.67.174.75,2026-09-02 21:47:35
296535d1-416b-41b5-9ce8-40030501271c,73f9fd0a-3953-4bd1-b22e-60889544141b,LOGIN,user,78ed2207-2709-40de-a06c-3b02eedfafe2,"{""source"": ""web"", ""note"": ""LOGIN event""}",10.234.118.30,2026-09-08 05:30:05
9348a868-49c5-4ad8-8595-d81059c4a757,94bc2653-6bb0-4ddd-975a-57c9293c3772,SKILL_ADDED,student_skills,6e406823-c6f5-4bbd-bb2e-887734d9e507,"{""source"": ""web"", ""note"": ""SKILL_ADDED event""}",10.147.159.177,2026-09-07 10:42:06
2dda4256-037a-421e-8b41-f9153a4884fe,a481949f-9bed-4003-bb3f-ad8eb4e81fba,PROFILE_UPDATE,student_profiles,8baaa5ab-8bdb-4fb3-a3d7-56570988915e,"{""source"": ""web"", ""note"": ""PROFILE_UPDATE event""}",10.40.146.209,2026-08-10 10:50:26
6e8951da-f49f-49ab-9e14-3f7ffae207fa,7c7be354-5b15-4ad0-8741-5a788e61447a,LOGOUT,user,b6500ef5-5fbe-416f-833c-c108304e2703,"{""source"": ""web"", ""note"": ""LOGOUT event""}",10.21.133.106,2026-08-27 22:42:47
a66446b1-5054-4cfd-bdbd-0a9e462a4422,bcef85cb-fd53-4d54-8c60-ce8716aa902c,MARKS_ENTRY,course_enrollments,381a9620-efcb-40ca-8e97-40335a6e6df6,"{""source"": ""web"", ""note"": ""MARKS_ENTRY event""}",10.233.184.235,2026-08-18 00:15:51
c2a9ba0b-e6e6-4f49-b96d-391465be3fc6,92e9895f-70ca-4fe3-9002-4f73864b6958,COURSE_ASSIGNED,faculty_course_assignments,97844ba5-8ced-456e-8778-82c91601fb09,"{""source"": ""web"", ""note"": ""COURSE_ASSIGNED event""}",10.0.177.132,2026-08-02 23:08:39
f6a63c5b-824a-4aea-b943-d42c04c84e82,49584b80-e495-4125-96d7-aa896d4fa76d,SKILL_ADDED,student_skills,9323f405-5dd3-469a-9e5b-76190453bcc2,"{""source"": ""web"", ""note"": ""SKILL_ADDED event""}",10.58.166.157,2026-09-06 19:44:35
790adda4-36e6-4abe-a44d-b54c3ca0078e,1d3c54cf-acda-4503-afdb-27f14e62bb3c,LOGIN,user,76a91213-c9ef-41c2-ba82-3f2044af69b5,"{""source"": ""web"", ""note"": ""LOGIN event""}",10.134.120.108,2026-08-05 05:59:04
3f5cf8d1-a88b-4594-9f1b-d0efe3a2c35d,985a71ad-7139-4598-8b86-658cdd4769c1,ATTENDANCE_MARKED,attendance_records,486948f2-bc56-4fb4-8865-26d11b6967ca,"{""source"": ""web"", ""note"": ""ATTENDANCE_MARKED event""}",10.49.160.39,2026-08-04 23:58:16
