id,student_id,course_id,academic_year,semester,internal_marks,mid_term_marks,lab_marks,final_exam_marks,total_marks,grade,is_backlog
d642c6dc-5d4a-2f70-453a-03c8316b422b,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,f8b6ad01-594d-5e52-b325-ed9eb13211e1,2026-27,2,8.73,11.0,15.38,35.15,70.25,B+,False
f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,f27d152a-f613-51a3-aea8-0506e5d24c3a,2026-27,2,20.0,11.39,15.13,29.48,76.0,B+,False
688c3cc5-77c7-c48a-af4e-7f5afcd24255,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,5297007a-130e-5341-af7a-4e9027c2dadf,2026-27,2,15.77,10.9,19.22,32.6,78.48,B+,False
da472f50-df56-8741-ee6c-a928e71e0e00,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,2026-27,2,13.05,16.22,13.0,23.39,65.66,B,False
802636bb-bb4a-ae69-47dd-8bc0f6e343b3,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,5ceb5573-0231-5d70-848b-193fcfdb644c,2026-27,2,15.12,15.78,12.86,30.36,74.12,B+,False
f36f0e0e-27fd-6af6-3ad0-5c8f987feb6a,34e502c2-fa06-4e5b-afef-98abbff7cfce,29f10515-0a52-55f4-896b-fa882e11e38e,2026-27,6,18.19,12.17,16.31,15.54,62.21,B,False
bd9fa300-173b-37e9-65da-2393dfdb94ba,34e502c2-fa06-4e5b-afef-98abbff7cfce,2bc3bd90-0760-5d47-9467-5a5992c412e5,2026-27,6,8.96,10.92,12.79,28.64,61.3,B,False
26f2b40c-9e85-b17a-6d44-e983f854e5ee,34e502c2-fa06-4e5b-afef-98abbff7cfce,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,2026-27,6,20.0,18.81,20.0,25.64,84.46,A,False
42aee194-8ed7-6d04-f795-93f266131168,34e502c2-fa06-4e5b-afef-98abbff7cfce,005078bd-c539-5c44-a631-7e7dd9fb778c,2026-27,6,11.4,10.32,9.59,31.77,63.07,B,False
a328ad53-1ad0-feea-967b-711d46681477,34e502c2-fa06-4e5b-afef-98abbff7cfce,539f9c66-84f9-5b19-943a-cb15d62bbc33,2026-27,6,17.99,20.0,20.0,36.15,94.14,A+,False
