id,student_id,course_id,academic_year,semester,internal_marks,mid_term_marks,lab_marks,final_exam_marks,total_marks,grade,is_backlog
d642c6dc-5d4a-2f70-453a-03c8316b422b,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,f8b6ad01-594d-5e52-b325-ed9eb13211e1,2026-27,2,17.84,16.08,19.31,34.16,87.39,A,f
f8d3e647-8d4e-dc3a-c8f5-3f4b0d097695,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,f27d152a-f613-51a3-aea8-0506e5d24c3a,2026-27,2,18.64,16.38,16.51,31.86,83.39,A,f
688c3cc5-77c7-c48a-af4e-7f5afcd24255,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,5297007a-130e-5341-af7a-4e9027c2dadf,2026-27,2,16.14,17.78,18.11,31.96,83.99,A,f
da472f50-df56-8741-ee6c-a928e71e0e00,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,2026-27,2,16.84,17.98,18.31,31.36,84.49,A,f
802636bb-bb4a-ae69-47dd-8bc0f6e343b3,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,5ceb5573-0231-5d70-848b-193fcfdb644c,2026-27,2,18.94,17.58,18.61,35.46,90.59,A+,f
f36f0e0e-27fd-6af6-3ad0-5c8f987feb6a,34e502c2-fa06-4e5b-afef-98abbff7cfce,29f10515-0a52-55f4-896b-fa882e11e38e,2026-27,6,14.81,13.92,15.89,29.45,74.07,B+,f
bd9fa300-173b-37e9-65da-2393dfdb94ba,34e502c2-fa06-4e5b-afef-98abbff7cfce,2bc3bd90-0760-5d47-9467-5a5992c412e5,2026-27,6,14.91,16.02,17.49,28.45,76.87,B+,f
26f2b40c-9e85-b17a-6d44-e983f854e5ee,34e502c2-fa06-4e5b-afef-98abbff7cfce,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,2026-27,6,16.41,14.12,14.89,31.65,77.07,B+,f
42aee194-8ed7-6d04-f795-93f266131168,34e502c2-fa06-4e5b-afef-98abbff7cfce,005078bd-c539-5c44-a631-7e7dd9fb778c,2026-27,6,17.51,16.62,14.79,31.85,80.77,A,f
a328ad53-1ad0-feea-967b-711d46681477,34e502c2-fa06-4e5b-afef-98abbff7cfce,539f9c66-84f9-5b19-943a-cb15d62bbc33,2026-27,6,16.81,15.12,15.89,30.35,78.17,B+,f
ed93ce3e-f151-d011-54ab-3717bc05a862,2c3d1809-b161-465f-9647-776b20a08b71,f8b6ad01-594d-5e52-b325-ed9eb13211e1,2026-27,2,17.6,16.35,17.06,36.25,87.26,A,f
e7ef804a-b84e-dc83-4094-0fd4727b8488,2c3d1809-b161-465f-9647-776b20a08b71,f27d152a-f613-51a3-aea8-0506e5d24c3a,2026-27,2,18.6,17.35,16.96,33.45,86.36,A,f
cd9f735f-837a-836a-1f90-89f0f5c888ca,2c3d1809-b161-465f-9647-776b20a08b71,5297007a-130e-5341-af7a-4e9027c2dadf,2026-27,2,17.9,16.15,18.76,35.95,88.76,A,f
146d3df6-2d45-45a5-8a9c-66c1a34711b6,2c3d1809-b161-465f-9647-776b20a08b71,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,2026-27,2,18.2,15.95,17.96,33.85,85.96,A,f
466a93bb-129c-2fc4-6d4b-4b97697ea2e8,2c3d1809-b161-465f-9647-776b20a08b71,5ceb5573-0231-5d70-848b-193fcfdb644c,2026-27,2,17.3,15.75,17.56,35.25,85.86,A,f
419d7a12-7459-aa15-5e7a-5fa02edf4bce,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,29f10515-0a52-55f4-896b-fa882e11e38e,2026-27,6,16.47,16.61,17.53,36.18,86.79,A,f
1e229f6a-6311-96ea-583e-384df381c84a,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,2bc3bd90-0760-5d47-9467-5a5992c412e5,2026-27,6,17.77,15.11,16.83,35.58,85.29,A,f
d770b550-bcaa-e22d-139b-b659934081aa,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,2026-27,6,16.97,15.31,16.63,34.48,83.39,A,f
6c0218a8-553b-1a2b-781b-547bc270ec37,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,005078bd-c539-5c44-a631-7e7dd9fb778c,2026-27,6,17.97,16.41,17.43,35.68,87.49,A,f
1e8c979c-4391-7541-673e-caf0bf1a59d7,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,539f9c66-84f9-5b19-943a-cb15d62bbc33,2026-27,6,16.47,15.01,17.53,33.98,82.99,A,f
02787204-bce8-1344-9578-37726edfc2da,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,29f10515-0a52-55f4-896b-fa882e11e38e,2026-27,6,17.35,14.47,17.96,30.26,80.04,A,f
3a6266e2-4d9b-0fe0-3078-a590df400a31,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,2bc3bd90-0760-5d47-9467-5a5992c412e5,2026-27,6,17.95,14.97,15.36,30.76,79.04,B+,f
d40f4ea1-987d-147a-6bcc-1340c8737a30,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,d9518e1b-06ba-5f43-b6b9-67d017eaae5d,2026-27,6,17.15,15.67,17.96,33.76,84.54,A,f
c72a116c-074b-96fc-846c-b0c8f81c1541,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,005078bd-c539-5c44-a631-7e7dd9fb778c,2026-27,6,15.55,14.67,16.76,34.46,81.44,A,f
0f933fe9-6cab-3e95-3f5c-3e08763bdab1,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,539f9c66-84f9-5b19-943a-cb15d62bbc33,2026-27,6,16.25,17.77,17.06,32.76,83.84,A,f
22be854f-ecb1-9825-12e7-c2c9514ad061,b59261e4-5561-4347-b2fe-b2d57d216e4e,f8b6ad01-594d-5e52-b325-ed9eb13211e1,2026-27,2,17.71,18.56,19.19,32.15,87.61,A,f
9775eb2b-ae54-79e1-31b5-905e8ca6d325,b59261e4-5561-4347-b2fe-b2d57d216e4e,f27d152a-f613-51a3-aea8-0506e5d24c3a,2026-27,2,17.01,18.36,17.09,33.05,85.51,A,f
a8887f43-812b-2315-83bb-aa7aeb93d84a,b59261e4-5561-4347-b2fe-b2d57d216e4e,5297007a-130e-5341-af7a-4e9027c2dadf,2026-27,2,17.11,16.76,18.29,33.65,85.81,A,f
d5930a76-210c-a1c6-3f95-afa880fa3ca8,b59261e4-5561-4347-b2fe-b2d57d216e4e,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,2026-27,2,18.81,18.96,19.39,36.05,93.21,A+,f
