id,student_id,overall_score,technical_score,aptitude_score,coding_profile_score,recommended_actions
4741a83f-a41a-4b0b-94ae-de332115df93,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,60.9,72.3,46.6,60.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
70e7b5c8-22c4-44a2-9add-63356180d461,34e502c2-fa06-4e5b-afef-98abbff7cfce,57.8,52.6,58.9,63.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
dffa9ec3-0ad2-41f1-9744-491d3e1a1bd5,2c3d1809-b161-465f-9647-776b20a08b71,60.6,60.9,64.0,56.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
9d5cf63a-b036-49a7-ab97-c265c63ac3cb,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,75.7,69.5,86.5,73.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
7b86e690-1dd5-47a7-9ea6-be93e60dc95a,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,72.4,67.1,88.3,63.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
75946744-19c9-4803-9118-3a6a884e0993,b59261e4-5561-4347-b2fe-b2d57d216e4e,70.5,74.8,53.6,81.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
100cc033-641e-40b6-848e-9acf7fec13e6,4b13df1a-81b9-4031-8a44-e4a93d035ee6,91.8,90.2,87.1,98.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
c9e02473-f121-4e1e-a75f-29ad134c01fc,c7dc9f61-161f-406d-b9de-82b00c1645ad,74.0,72.6,64.8,85.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
5f02733a-245f-4d16-a524-386f07b903dc,5041cb6b-2d2d-43cc-9b2a-623e3d68809a,71.9,78.5,65.0,70.1,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
a83043f7-c073-498b-ba2a-d740ac8e0191,205ab441-ba97-4d3e-94c9-31da22e5306f,71.3,73.1,64.2,76.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
960edbaf-0dcc-4efa-899f-b7a2392cea36,73313afa-c5b3-4404-a6fd-cefad75d1eb6,59.2,56.6,66.7,55.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f4af97a0-eac9-4597-b303-5d6fbab25d43,6090a4c3-d95b-464f-bfeb-ba44374e5431,68.6,71.7,70.4,62.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
e54888ce-3433-4347-b203-07b1e8835705,bf0e18dc-22a1-49a0-810f-640c425d4b32,55.8,54.4,57.0,56.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
66d0384f-e61c-47eb-99f0-c70029aa8c88,dbbd36ea-a403-4737-8c04-fc22f1633c9a,85.9,87.5,92.3,77.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
297720ca-eaf6-4ef0-a086-93e523dcafc1,5da8fb5e-cd61-4859-8000-017fe7bdd278,85.3,91.8,64.9,97.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
397be5c7-52cc-4662-908b-d3457d87759b,1fc6613b-54fd-4adc-a5df-889c7946c6f1,69.0,78.0,56.5,69.6,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
d638e0b5-4499-44cb-a36d-f55889e5c945,c5bc9879-c820-4812-84d9-b40ce5074d05,68.8,73.2,58.9,72.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
8143db51-2e72-4451-a23d-40662aeca1f3,03311a3d-c10e-4431-ab52-3e503cb2ecd6,66.0,62.8,77.9,58.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f4e83e28-16a2-4644-afc0-f464852901b7,be3597b2-e328-41e3-8625-f0f063f73070,75.1,81.2,71.8,70.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
d3c724c4-b78c-4670-a92e-e7fdef63769d,8f752177-8b62-4d2d-8600-9b05fbe2169b,70.8,76.5,72.0,61.9,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
4e3573d4-6bb5-4087-806c-66db5042d407,a9219240-e534-4273-b0b8-7b591cdfd764,68.2,60.0,94.3,53.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
99578833-f00c-48c1-8b3e-258222dac147,5ec4f153-e109-4264-964c-73d252319f0e,78.0,77.3,72.1,84.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
a1e45bd0-93d1-4693-95c3-edc292517038,bd0bfff1-aa08-469f-ace3-025aed67e75a,51.9,57.2,49.0,47.8,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
f6c84ea1-1ad6-466d-8e1e-b4860edf0046,1ca793cc-1198-435a-9f94-a3e8496154bb,77.0,75.7,77.9,77.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
79fb5a11-f6c1-4d74-9ab0-141e8fb79ece,f66e0d59-bc27-4097-96db-9ccc9fd6b509,68.2,67.5,82.6,54.7,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
b51ae687-ac2e-49fb-8cce-1372d47e1b78,c854faf3-84cd-4da5-a49a-3239315a747a,90.3,86.0,89.0,97.4,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
93381ebe-d8d0-4ada-bbc1-fae111cbe177,468d5573-23a5-4e70-910f-a6582f4a9796,79.4,85.6,60.0,90.5,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
c1ed4980-d0c8-4c89-ab75-2026395f36ba,5b77e068-e415-428f-9c47-56281164a8d0,78.0,73.8,87.6,74.0,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
ffdcd823-4acc-4755-be31-83d6701f8052,c0c6d86b-6877-425e-b5e2-5b6cea1e2664,67.6,65.1,67.1,71.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
fb12d935-1de5-4193-9ac9-356264e2936d,274e5dc2-8313-420e-af64-62d711c5d8a9,72.6,85.3,47.1,81.2,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
214ed3a2-e9af-439d-9eb7-cdf5fea2c90b,a41bfbe4-df25-4d9a-b39c-deffd5136493,80.7,74.5,82.5,87.3,"[""Practice Data Structures on LeetCode"", ""Complete AWS Cloud Certification""]"
