id,student_id,course_id,risk_score,risk_level,primary_risk_factor,shap_explanation,flagged_at,reviewed_by_faculty_id,faculty_intervention_notes,is_intervened,reviewed_at
2ce0a73d-971b-4406-84a7-c5ac3ff28e27,34e502c2-fa06-4e5b-afef-98abbff7cfce,539f9c66-84f9-5b19-943a-cb15d62bbc33,0.89,CRITICAL,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.35, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,15ca48fc-df67-512c-815e-c085107e9c59,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
1834c0e4-a8de-4a1a-8a85-8b92b55b938f,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,005078bd-c539-5c44-a631-7e7dd9fb778c,0.92,CRITICAL,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,e22bf2b6-38c3-5617-9c4a-0acd181581d6,,False,
a726d826-b26c-470e-ab18-2c8840e7324a,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,005078bd-c539-5c44-a631-7e7dd9fb778c,0.82,HIGH,Low Class Attendance & Midterm Scores,"{""attendance_pct"": -0.45, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
c5e61065-4c9c-4300-bc1e-a8ad192c8061,205ab441-ba97-4d3e-94c9-31da22e5306f,2bc3bd90-0760-5d47-9467-5a5992c412e5,0.83,HIGH,Low Class Attendance & Midterm Scores,"{""attendance_pct"": -0.45, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,,False,
be5b98a9-88c0-413f-acfe-5916faef5ca2,73313afa-c5b3-4404-a6fd-cefad75d1eb6,29f10515-0a52-55f4-896b-fa882e11e38e,0.94,CRITICAL,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
63abe0a6-75ca-4d34-867d-67d1e9d4957b,bd0bfff1-aa08-469f-ace3-025aed67e75a,945cbb28-3a50-5ed1-8e70-c416ee3f92f0,0.86,CRITICAL,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.35, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,096bae8a-b448-52a4-b11b-94f573db47d7,,False,
7bb07899-a03e-4f1b-be31-dead1a382ac2,468d5573-23a5-4e70-910f-a6582f4a9796,817d9a6f-e405-58f8-991b-373c31bd4e25,0.94,CRITICAL,Low Class Attendance & Midterm Scores,"{""attendance_pct"": -0.45, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,be990cb0-426f-5d38-9745-d477c185f5eb,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
a53acc33-f952-4e7d-b1c7-9a6d0b20c307,3d2634ae-ac32-4d69-96a0-46233b2d7dad,c697ab81-ffed-5fa6-9b51-be0954571d20,0.9,CRITICAL,Low Class Attendance & Midterm Scores,"{""attendance_pct"": -0.45, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,3a618d80-06ca-5715-898b-c91424935f9c,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
85a1601e-9639-4f5a-96e6-e8ea00b5d559,a28a7e4f-6327-4d2a-9fb6-c5a24dd9c085,f27d152a-f613-51a3-aea8-0506e5d24c3a,0.93,CRITICAL,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.35, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,d800e811-1ab0-565d-8548-728e67072757,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
26cd76f1-5971-4a9b-933b-2eee5dc03deb,62635a52-79be-4983-a930-e0a4dddc561a,5ceb5573-0231-5d70-848b-193fcfdb644c,0.79,HIGH,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.35, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,15ca48fc-df67-512c-815e-c085107e9c59,,False,
354c9adb-3a31-4fb8-a2a9-b497c44a476a,7200bf7a-08c0-4ca4-9c0e-6d596569e2a1,cc6bfe47-d156-5f3c-a0a6-64be53ff1202,0.86,CRITICAL,Low Class Attendance & Midterm Scores,"{""attendance_pct"": -0.45, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,d800e811-1ab0-565d-8548-728e67072757,,False,
2a94b2c3-e5cb-4be1-a100-b51ba8839479,2edafeee-b273-45ff-8ad6-7fa3a827fdbd,21e87180-7538-5689-922d-8889674702ed,0.92,CRITICAL,Low Cumulative CGPA & Assignment Delays,"{""attendance_pct"": -0.2, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,c21ecdfa-6821-58f3-80ad-01ad42723c64,"Faculty intervention scheduled: mentoring, attendance follow-up and course support recommended.",True,2026-09-03 10:00:00
04bb983c-43ed-475e-93c3-d6c9f97c253e,95367de5-7130-4f76-8f84-a68859c30c97,a71f945b-22bf-5921-85a0-cb1acd7cb2e6,0.75,HIGH,Low Class Attendance & Midterm Scores,"{""attendance_pct"": -0.45, ""midterm_marks"": -0.15, ""assignment_submission_delay"": -0.15}",2026-09-10 18:10:04.34034,3a618d80-06ca-5715-898b-c91424935f9c,,False,
