id,student_id,company_name,role_title,start_date,end_date,status,stipend,description,certificate_url
705a399f-73a9-4fbf-a753-739a6614e4f9,dbbd36ea-a403-4737-8c04-fc22f1633c9a,Deloitte,QA Intern,2026-06-03,,ONGOING,8000.0,Worked as ml intern on real-world projects.,
f1bce0cb-337d-4f12-b046-705389bcef09,5b77e068-e415-428f-9c47-56281164a8d0,Local Startup,Software Development Intern,2026-06-29,,ONGOING,15000.0,Worked as ml intern on real-world projects.,
6d4b2187-90ea-486f-b1e1-88cfd698b1d6,f099bf6e-1119-4e3a-ad70-6afc47697f2d,Tech Mahindra,QA Intern,2026-06-17,2026-08-16,COMPLETED,10000.0,Worked as ml intern on real-world projects.,https://uei-certs.s3.amazonaws.com/intern-bdcfeec1.pdf
9def4639-5c0d-48b5-8314-405eac72e78a,907b3117-be17-490e-b321-815152024843,Accenture,Software Development Intern,2026-05-06,2026-08-04,COMPLETED,0.0,Worked as data analyst intern on real-world projects.,https://uei-certs.s3.amazonaws.com/intern-ec467c8a.pdf
5e4b5bad-7ad7-4d1c-942e-2f57b03a781e,2edafeee-b273-45ff-8ad6-7fa3a827fdbd,Capgemini,Data Analyst Intern,2026-06-03,,ONGOING,0.0,Worked as ml intern on real-world projects.,
d1109c3e-a846-4af1-a9f2-7d1096f024ab,72678c82-38a3-423a-a567-7f09511ce1cb,Amazon,Frontend Developer Intern,2026-06-26,2026-07-26,COMPLETED,15000.0,Worked as ml intern on real-world projects.,https://uei-certs.s3.amazonaws.com/intern-9f87e866.pdf
06228275-5ffd-44df-b6c2-777e3337d0f5,391e48f1-7d0b-40be-92c6-592eda356258,Deloitte,QA Intern,2026-06-07,,ONGOING,10000.0,Worked as software development intern on real-world projects.,
5c09d570-23df-4937-8f39-d676600f354e,27853259-68b6-46ee-99d2-e2cd051972fb,Capgemini,ML Intern,2026-05-09,2026-06-08,COMPLETED,0.0,Worked as frontend developer intern on real-world projects.,https://uei-certs.s3.amazonaws.com/intern-ab3534eb.pdf
a9a2e38b-9540-4206-b6ca-6a9505a5a6d9,346e2838-f1b6-494a-ad10-1e53b5a44b54,Tech Mahindra,Software Development Intern,2026-06-24,2026-07-24,COMPLETED,10000.0,Worked as software development intern on real-world projects.,https://uei-certs.s3.amazonaws.com/intern-4ece390c.pdf
c1cdf56f-46f6-45d6-87bb-fa6bb46bfb2a,1da664ac-810c-46b3-a2be-8e9cc0e3030c,Mindtree,Backend Developer Intern,2026-06-26,,ONGOING,0.0,Worked as backend developer intern on real-world projects.,
