id,student_id,semester,academic_year,sgpa,credits_earned,credits_registered,backlogs_count,result_status
77039983-7092-5115-b160-5be610004ba5,621a9c6d-e226-4ff0-a22c-2e72a6a48abe,1,2025-26,7.17,20,20,0,PASS
55984582-8498-5d3e-9322-e1704b548dd3,34e502c2-fa06-4e5b-afef-98abbff7cfce,1,2023-24,5.15,18,18,0,PASS
173b0162-d6e7-5225-8378-2337fb011fab,34e502c2-fa06-4e5b-afef-98abbff7cfce,2,2023-24,5.5,22,22,0,PASS
fdaecb41-6397-5d7e-9227-8a89b69d5f47,34e502c2-fa06-4e5b-afef-98abbff7cfce,3,2024-25,5.9,20,20,0,PASS
c9acc2a4-61ed-5358-92bf-975210b5a7ab,34e502c2-fa06-4e5b-afef-98abbff7cfce,4,2024-25,6.06,18,18,0,PASS
5b12ec61-3694-57b7-a767-313dc79c7c7a,34e502c2-fa06-4e5b-afef-98abbff7cfce,5,2025-26,5.74,16,20,1,PASS
88168393-a413-5fe9-90e7-2cc7469b51ec,2c3d1809-b161-465f-9647-776b20a08b71,1,2025-26,6.55,18,18,0,PASS
ac8dc651-b3a0-5b19-8cdf-c9d1eb838472,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,1,2023-24,6.84,18,18,0,PASS
f7a50cf6-e610-56ef-aa54-1ffc2e020357,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,2,2023-24,7.6,20,20,0,PASS
efc21ed3-1cf1-5c59-a67c-bf7c8e7e85b7,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,3,2024-25,8.18,22,22,0,PASS
e8e1a560-f3d5-5fd7-ad13-ab2139bcf4de,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,4,2024-25,6.37,18,18,0,PASS
4e243849-2f21-5d96-a796-0b6c84116a8d,60f7d907-739c-4a83-b7a5-e0c7c2f8c831,5,2025-26,6.5,20,20,0,PASS
795fa878-56a9-59d5-be0c-1c3798828c42,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,1,2023-24,7.12,22,22,0,PASS
c869f9d1-9bca-536b-a8cf-914398b464a7,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,2,2023-24,6.01,22,22,0,PASS
52f8aaea-a575-5c85-9654-3a8a239afdc9,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,3,2024-25,6.65,18,18,0,PASS
d4f5cf9f-af46-5f91-bde2-4876c15dc3f9,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,4,2024-25,6.22,20,20,0,PASS
448f3cc1-40c5-5a61-a01f-892a386b30b9,3b41dfe4-59c5-4f15-ade6-d306f55f22f9,5,2025-26,6.12,22,22,0,PASS
20f20a93-aad0-52ec-8b2f-e2b067760203,b59261e4-5561-4347-b2fe-b2d57d216e4e,1,2025-26,7.86,20,20,0,PASS
5accb183-88f4-5c4b-9c49-4db67a419392,4b13df1a-81b9-4031-8a44-e4a93d035ee6,1,2025-26,10.0,18,18,0,PASS
ed3a6493-0024-52f6-a77b-9c7aa9e370c5,5041cb6b-2d2d-43cc-9b2a-623e3d68809a,1,2024-25,7.17,14,18,1,PASS
0c7972f0-98e1-5395-8b2d-aab411075c41,5041cb6b-2d2d-43cc-9b2a-623e3d68809a,2,2024-25,7.29,22,22,0,PASS
1b210a9d-7827-59fc-8a48-b4a32d78cbab,5041cb6b-2d2d-43cc-9b2a-623e3d68809a,3,2025-26,6.96,18,18,0,PASS
3cf5c409-8e0b-5345-a26b-69690985580f,205ab441-ba97-4d3e-94c9-31da22e5306f,1,2023-24,7.81,18,18,0,PASS
d2df28eb-97a4-5c77-8ee1-d4328cbf2e6a,205ab441-ba97-4d3e-94c9-31da22e5306f,2,2023-24,7.64,22,22,0,PASS
0f6523ec-b25c-5660-b2c0-ec3ddb81c57b,205ab441-ba97-4d3e-94c9-31da22e5306f,3,2024-25,7.95,20,20,0,PASS
bc435550-c35f-5f2c-b627-835265e50a72,205ab441-ba97-4d3e-94c9-31da22e5306f,4,2024-25,7.19,18,18,0,PASS
beace6fe-0e16-5e94-b2aa-8995878ce301,205ab441-ba97-4d3e-94c9-31da22e5306f,5,2025-26,7.66,18,18,0,PASS
a3ca51c0-fef4-5041-ac67-dc91fdcfefb8,73313afa-c5b3-4404-a6fd-cefad75d1eb6,1,2023-24,6.46,18,18,0,PASS
881c5afa-afd1-5b71-a465-1a5243a98bd7,73313afa-c5b3-4404-a6fd-cefad75d1eb6,2,2023-24,7.26,20,20,0,PASS
d4fa6680-2f66-57f2-a1bf-d3e4094a2ce2,73313afa-c5b3-4404-a6fd-cefad75d1eb6,3,2024-25,6.13,18,18,0,PASS
a637148d-907e-55aa-95ef-26eb3f4578ae,73313afa-c5b3-4404-a6fd-cefad75d1eb6,4,2024-25,6.53,20,20,0,PASS
79ebde2b-cba2-5ed9-9e50-7572ff4b92e6,73313afa-c5b3-4404-a6fd-cefad75d1eb6,5,2025-26,6.99,22,22,0,PASS
63b9d3b1-4014-583d-8832-a646ac592747,6090a4c3-d95b-464f-bfeb-ba44374e5431,1,2024-25,7.26,18,18,0,PASS
b90dd18f-ce94-5cb1-aeb3-62186293c0c1,6090a4c3-d95b-464f-bfeb-ba44374e5431,2,2024-25,6.37,20,20,0,PASS
e0e46e14-94cd-53d8-9b49-89772f888384,6090a4c3-d95b-464f-bfeb-ba44374e5431,3,2025-26,7.14,18,18,0,PASS
58a35dde-761a-5844-b79c-020eb6ee6fe6,bf0e18dc-22a1-49a0-810f-640c425d4b32,1,2023-24,6.11,18,18,0,PASS
0805f30e-d8e2-5db0-858d-2953f9a15c93,bf0e18dc-22a1-49a0-810f-640c425d4b32,2,2023-24,6.21,22,22,0,PASS
96fc4bc3-9c42-5db5-8425-bf63d55bf6ea,bf0e18dc-22a1-49a0-810f-640c425d4b32,3,2024-25,7.18,22,22,0,PASS
2550010c-b369-56eb-964d-811bedc3481c,bf0e18dc-22a1-49a0-810f-640c425d4b32,4,2024-25,6.97,20,20,0,PASS
c9b02f9d-7e1c-53c2-9914-f91b95bcfbc3,bf0e18dc-22a1-49a0-810f-640c425d4b32,5,2025-26,6.24,18,18,0,PASS
7652eec5-68f8-5f49-9319-01b00dda88de,dbbd36ea-a403-4737-8c04-fc22f1633c9a,1,2023-24,7.99,22,22,0,PASS
96abc810-6354-534c-9e5b-d1973d7ca3bd,dbbd36ea-a403-4737-8c04-fc22f1633c9a,2,2023-24,8.49,18,18,0,PASS
