id,student_id,course_id,risk_score,risk_level,primary_risk_factor,shap_explanation,flagged_at,reviewed_by_faculty_id,faculty_intervention_notes,is_intervened,reviewed_at
a34ba362-3a11-4f80-9d7a-a0d0c1ce33a2,205ab441-ba97-4d3e-94c9-31da22e5306f,005078bd-c539-5c44-a631-7e7dd9fb778c,0.49,LOW,Low attendance & missed continuous assessments; Low cumulative CGPA trend,"{""attendance_pct"": -0.185, ""midterm_marks"": -0.014, ""cumulative_cgpa"": 0.008, ""backlog_count"": -0.062, ""peer_study_group"": 0.081}",2026-09-07 20:00:00,aea15467-f034-51f8-bc1b-18594762d5ce,,False,
85c27c31-8639-45a0-a665-d063f73585fa,73313afa-c5b3-4404-a6fd-cefad75d1eb6,2bc3bd90-0760-5d47-9467-5a5992c412e5,0.39,LOW,Low attendance & missed continuous assessments; Low cumulative CGPA trend,"{""attendance_pct"": -0.175, ""midterm_marks"": -0.094, ""cumulative_cgpa"": -0.104, ""backlog_count"": -0.001}",2026-09-15 16:00:00,c21ecdfa-6821-58f3-80ad-01ad42723c64,,False,
e96126d1-24c2-43c3-bbe0-2ceadccf998a,a9219240-e534-4273-b0b8-7b591cdfd764,817d9a6f-e405-58f8-991b-373c31bd4e25,0.34,LOW,Declining midterm performance vs. previous semesters; Low cumulative CGPA trend,"{""attendance_pct"": -0.043, ""midterm_marks"": -0.119, ""cumulative_cgpa"": -0.069, ""backlog_count"": -0.019, ""peer_study_group"": 0.098}",2026-09-08 22:00:00,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,,False,
9de1dc86-45cc-4346-9f81-b3d35c56c762,bd0bfff1-aa08-469f-ace3-025aed67e75a,325f5f11-db40-5f00-816d-d66357e36c70,0.38,LOW,Declining midterm performance vs. previous semesters; Low cumulative CGPA trend,"{""attendance_pct"": -0.045, ""midterm_marks"": -0.091, ""cumulative_cgpa"": -0.156, ""backlog_count"": 0.073, ""peer_study_group"": 0.08}",2026-09-13 18:00:00,c21ecdfa-6821-58f3-80ad-01ad42723c64,,False,
f2d114f2-9f4f-4559-8283-9e9d4a913c0f,bd0bfff1-aa08-469f-ace3-025aed67e75a,817d9a6f-e405-58f8-991b-373c31bd4e25,0.43,MEDIUM,Low cumulative CGPA trend; Active backlog affecting current course load,"{""attendance_pct"": -0.011, ""midterm_marks"": -0.117, ""cumulative_cgpa"": -0.118, ""backlog_count"": -0.431, ""peer_study_group"": 0.108}",2026-09-09 21:00:00,b84eb5f1-c2a0-59d4-9839-df45cf02a21f,,False,
aab2e97f-d88a-4512-8c05-0da9620c281e,f66e0d59-bc27-4097-96db-9ccc9fd6b509,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,0.35,LOW,Declining midterm performance vs. previous semesters; Low cumulative CGPA trend,"{""attendance_pct"": -0.07, ""midterm_marks"": -0.102, ""cumulative_cgpa"": -0.081, ""backlog_count"": -0.046}",2026-09-04 15:00:00,a4aa6329-cf7f-5e3f-958c-df3fbeeac2f0,One-on-one discussion held; student committed to improvement plan.,True,2026-09-07 15:00:00
003657c8-196f-4dcf-bf89-bdbf4e617a64,a41bfbe4-df25-4d9a-b39c-deffd5136493,730c5632-33dc-5e69-a798-6135043a47aa,0.36,LOW,Low attendance & missed continuous assessments; Low cumulative CGPA trend,"{""attendance_pct"": -0.117, ""midterm_marks"": -0.084, ""cumulative_cgpa"": -0.123, ""backlog_count"": -0.029, ""peer_study_group"": 0.07}",2026-09-10 09:00:00,e22bf2b6-38c3-5617-9c4a-0acd181581d6,Peer tutoring arranged with a senior student.,True,2026-09-15 09:00:00
55296e9a-f2c2-40ff-89d8-50601d74c7fd,5f98ac60-2390-4b08-b203-436e27e21256,2bc3bd90-0760-5d47-9467-5a5992c412e5,0.41,LOW,Declining midterm performance vs. previous semesters; Low cumulative CGPA trend,"{""attendance_pct"": -0.01, ""midterm_marks"": -0.074, ""cumulative_cgpa"": -0.04, ""backlog_count"": -0.01}",2026-09-11 19:00:00,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,,False,
a551bd10-ebaf-4c9d-87ce-4cd0b20cf909,b2ed1d86-f2ea-4994-bb8a-a6d29c11d68f,c8e42f25-4acd-5f8b-8bce-f0cab27cc71f,0.48,HIGH,Declining midterm performance vs. previous semesters; Active backlog affecting current course load,"{""attendance_pct"": -0.036, ""midterm_marks"": -0.073, ""cumulative_cgpa"": -0.066, ""backlog_count"": -0.306, ""peer_study_group"": 0.041}",2026-09-01 01:00:00,fe5c93f6-e5a4-508d-aa3d-61d3961e79b6,Peer tutoring arranged with a senior student.,True,2026-09-03 01:00:00
b786bc43-6047-43f2-8e5f-7130539d35e6,62635a52-79be-4983-a930-e0a4dddc561a,f8b6ad01-594d-5e52-b325-ed9eb13211e1,0.56,LOW,Low cumulative CGPA trend; Active backlog affecting current course load,"{""attendance_pct"": -0.019, ""midterm_marks"": -0.079, ""cumulative_cgpa"": -0.199, ""backlog_count"": -0.302}",2026-09-03 19:00:00,096bae8a-b448-52a4-b11b-94f573db47d7,,False,
