id,current_semester,current_cgpa,overall_attendance,at_risk
621a9c6d-e226-4ff0-a22c-2e72a6a48abe,2.0,7.42,84.5,0
34e502c2-fa06-4e5b-afef-98abbff7cfce,6.0,5.64,71.9,1
2c3d1809-b161-465f-9647-776b20a08b71,2.0,7.25,86.0,0
60f7d907-739c-4a83-b7a5-e0c7c2f8c831,6.0,7.21,65.0,1
3b41dfe4-59c5-4f15-ade6-d306f55f22f9,6.0,6.31,62.4,1
b59261e4-5561-4347-b2fe-b2d57d216e4e,2.0,7.64,86.9,0
4b13df1a-81b9-4031-8a44-e4a93d035ee6,2.0,9.11,77.5,0
c7dc9f61-161f-406d-b9de-82b00c1645ad,1.0,7.31,86.0,0
5041cb6b-2d2d-43cc-9b2a-623e3d68809a,4.0,7.43,92.6,0
205ab441-ba97-4d3e-94c9-31da22e5306f,6.0,7.49,56.7,1
73313afa-c5b3-4404-a6fd-cefad75d1eb6,6.0,6.78,66.1,1
6090a4c3-d95b-464f-bfeb-ba44374e5431,4.0,6.83,78.2,0
bf0e18dc-22a1-49a0-810f-640c425d4b32,6.0,6.27,71.1,0
dbbd36ea-a403-4737-8c04-fc22f1633c9a,6.0,8.87,76.6,0
5da8fb5e-cd61-4859-8000-017fe7bdd278,4.0,9.22,70.5,0
1fc6613b-54fd-4adc-a5df-889c7946c6f1,1.0,8.02,83.9,0
c5bc9879-c820-4812-84d9-b40ce5074d05,4.0,7.68,79.6,0
03311a3d-c10e-4431-ab52-3e503cb2ecd6,1.0,7.46,90.9,0
be3597b2-e328-41e3-8625-f0f063f73070,6.0,9.2,85.1,0
8f752177-8b62-4d2d-8600-9b05fbe2169b,4.0,7.73,75.4,0
a9219240-e534-4273-b0b8-7b591cdfd764,1.0,6.57,79.2,0
5ec4f153-e109-4264-964c-73d252319f0e,1.0,7.97,86.1,0
bd0bfff1-aa08-469f-ace3-025aed67e75a,1.0,5.05,78.1,1
1ca793cc-1198-435a-9f94-a3e8496154bb,6.0,8.85,73.4,0
f66e0d59-bc27-4097-96db-9ccc9fd6b509,2.0,7.49,89.5,0
c854faf3-84cd-4da5-a49a-3239315a747a,6.0,8.14,81.9,0
468d5573-23a5-4e70-910f-a6582f4a9796,1.0,8.34,63.7,1
5b77e068-e415-428f-9c47-56281164a8d0,6.0,7.37,72.1,0
c0c6d86b-6877-425e-b5e2-5b6cea1e2664,1.0,7.57,75.6,0
274e5dc2-8313-420e-af64-62d711c5d8a9,6.0,9.13,72.8,0
a41bfbe4-df25-4d9a-b39c-deffd5136493,4.0,6.84,69.6,0
f099bf6e-1119-4e3a-ad70-6afc47697f2d,1.0,9.34,81.3,0
3d2634ae-ac32-4d69-96a0-46233b2d7dad,1.0,9.05,62.8,1
907b3117-be17-490e-b321-815152024843,4.0,6.62,83.8,0
367906ff-ef0a-467c-89ba-6fadff57f435,6.0,8.07,72.5,0
5f98ac60-2390-4b08-b203-436e27e21256,6.0,6.22,88.0,0
a28a7e4f-6327-4d2a-9fb6-c5a24dd9c085,2.0,4.74,89.7,1
b2ed1d86-f2ea-4994-bb8a-a6d29c11d68f,2.0,6.58,83.8,0
62635a52-79be-4983-a930-e0a4dddc561a,2.0,5.51,90.1,1
7200bf7a-08c0-4ca4-9c0e-6d596569e2a1,1.0,8.23,51.7,1
d0a7a248-1401-4ba2-90c5-fcb92e59123f,4.0,7.64,72.7,0
2edafeee-b273-45ff-8ad6-7fa3a827fdbd,4.0,7.17,67.9,1
95367de5-7130-4f76-8f84-a68859c30c97,4.0,8.02,62.5,1
